Right inference, 978, Wrong inference, 22, Classification accuracy, 0.978
Right inference, 978, Wrong inference, 22, Classification accuracy, 0.978
Right inference, 978, Wrong inference, 22, Classification accuracy, 0.978
Right inference, 978, Wrong inference, 22, Classification accuracy, 0.978
Right inference, 978, Wrong inference, 22, Classification accuracy, 0.978
Right inference, 986, Wrong inference, 14, Classification accuracy, 0.986
Right inference, 986, Wrong inference, 14, Classification accuracy, 0.986
Right inference, 986, Wrong inference, 14, Classification accuracy, 0.986
Right inference, 986, Wrong inference, 14, Classification accuracy, 0.986
Right inference, 986, Wrong inference, 14, Classification accuracy, 0.986
Right inference, 986, Wrong inference, 14, Classification accuracy, 0.986
Right inference, 986, Wrong inference, 14, Classification accuracy, 0.986
Right inference, 986, Wrong inference, 14, Classification accuracy, 0.986
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
Right inference, 996, Wrong inference, 4, Classification accuracy, 0.996
