Right inference, 988, Wrong inference, 12, Classification accuracy, 0.988
Right inference, 988, Wrong inference, 12, Classification accuracy, 0.988
Right inference, 988, Wrong inference, 12, Classification accuracy, 0.988
Right inference, 988, Wrong inference, 12, Classification accuracy, 0.988
Right inference, 988, Wrong inference, 12, Classification accuracy, 0.988
Right inference, 988, Wrong inference, 12, Classification accuracy, 0.988
Right inference, 988, Wrong inference, 12, Classification accuracy, 0.988
Right inference, 988, Wrong inference, 12, Classification accuracy, 0.988
Right inference, 992, Wrong inference, 8, Classification accuracy, 0.992
Right inference, 992, Wrong inference, 8, Classification accuracy, 0.992
Right inference, 992, Wrong inference, 8, Classification accuracy, 0.992
Right inference, 992, Wrong inference, 8, Classification accuracy, 0.992
Right inference, 992, Wrong inference, 8, Classification accuracy, 0.992
Right inference, 992, Wrong inference, 8, Classification accuracy, 0.992
Right inference, 992, Wrong inference, 8, Classification accuracy, 0.992
Right inference, 992, Wrong inference, 8, Classification accuracy, 0.992
Right inference, 992, Wrong inference, 8, Classification accuracy, 0.992
Right inference, 992, Wrong inference, 8, Classification accuracy, 0.992
Right inference, 992, Wrong inference, 8, Classification accuracy, 0.992
Right inference, 992, Wrong inference, 8, Classification accuracy, 0.992
Right inference, 992, Wrong inference, 8, Classification accuracy, 0.992
Right inference, 992, Wrong inference, 8, Classification accuracy, 0.992
Right inference, 992, Wrong inference, 8, Classification accuracy, 0.992
Right inference, 992, Wrong inference, 8, Classification accuracy, 0.992
Right inference, 992, Wrong inference, 8, Classification accuracy, 0.992
Right inference, 992, Wrong inference, 8, Classification accuracy, 0.992
Right inference, 992, Wrong inference, 8, Classification accuracy, 0.992
Right inference, 992, Wrong inference, 8, Classification accuracy, 0.992
Right inference, 992, Wrong inference, 8, Classification accuracy, 0.992
Right inference, 992, Wrong inference, 8, Classification accuracy, 0.992
Right inference, 992, Wrong inference, 8, Classification accuracy, 0.992
Right inference, 992, Wrong inference, 8, Classification accuracy, 0.992
Right inference, 992, Wrong inference, 8, Classification accuracy, 0.992
Right inference, 992, Wrong inference, 8, Classification accuracy, 0.992
Right inference, 992, Wrong inference, 8, Classification accuracy, 0.992
Right inference, 992, Wrong inference, 8, Classification accuracy, 0.992
Right inference, 992, Wrong inference, 8, Classification accuracy, 0.992
Right inference, 992, Wrong inference, 8, Classification accuracy, 0.992
Right inference, 992, Wrong inference, 8, Classification accuracy, 0.992
Right inference, 992, Wrong inference, 8, Classification accuracy, 0.992
Right inference, 992, Wrong inference, 8, Classification accuracy, 0.992
Right inference, 992, Wrong inference, 8, Classification accuracy, 0.992
Right inference, 992, Wrong inference, 8, Classification accuracy, 0.992
Right inference, 992, Wrong inference, 8, Classification accuracy, 0.992
Right inference, 992, Wrong inference, 8, Classification accuracy, 0.992
